"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.mindtree.dao","src/com/mindtree/dao/CarDao.java","3","10","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"2","com.mindtree.dao","src/com/mindtree/dao/CarDao.java","3","11","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"3","com.mindtree.dao","src/com/mindtree/dao/DaoFactory.java","1","7","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"4","com.mindtree.dao","src/com/mindtree/dao/DaoFactory.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"5","com.mindtree.dao","src/com/mindtree/dao/DaoFactory.java","3","9","Private field 'carDao' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"6","com.mindtree.dao","src/com/mindtree/dao/DaoFactory.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"7","com.mindtree.dao","src/com/mindtree/dao/DaoFactory.java","3","10","Private field 'rentalDao' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"8","com.mindtree.dao","src/com/mindtree/dao/DaoFactory.java","3","13","Local variable 'resource' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"9","com.mindtree.dao","src/com/mindtree/dao/DaoFactory.java","3","35","Singleton is not thread safe","Design Rules","NonThreadSafeSingleton"
"10","com.mindtree.dao","src/com/mindtree/dao/RentalDao.java","3","11","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"11","com.mindtree.dao","src/com/mindtree/dao/RentalDao.java","3","12","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"12","com.mindtree.dao","src/com/mindtree/dao/RentalDao.java","3","13","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"13","com.mindtree.dao","src/com/mindtree/dao/RentalDao.java","3","14","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"14","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/BaseDao.java","3","4","Package name contains upper case characters","Naming Rules","PackageCase"
"15","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/BaseDao.java","3","21","Abstract classes should be named AbstractXXX","Naming Rules","AbstractNaming"
"16","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/BaseDao.java","3","21","This abstract class does not have any abstract methods","Design Rules","AbstractClassWithoutAbstractMethod"
"17","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/BaseDao.java","3","28","Local variable 'resource' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"18","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/BaseDao.java","3","38","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"19","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/BaseDao.java","3","50","Parameter 'con' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/BaseDao.java","3","50","Parameter 'stmt' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"21","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"22","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","24","Parameter 'car' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"23","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","25","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"24","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","5","25","Found 'DD'-anomaly for variable 'con' (lines '25'-'26').","Controversial Rules","DataflowAnomalyAnalysis"
"25","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","5","27","Found 'DD'-anomaly for variable 'psmt' (lines '27'-'29').","Controversial Rules","DataflowAnomalyAnalysis"
"26","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","45","Parameter 'con' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"27","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","46","Local variable 'sql' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"28","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","47","Ensure that resources like this Statement object are closed after use","Design Rules","CloseResource"
"29","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","47","Local variable 'stmt' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"30","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","48","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"31","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","48","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"32","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","48","Local variable 'rs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"33","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","50","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"34","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","57","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"35","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","5","57","Found 'DD'-anomaly for variable 'con' (lines '57'-'58').","Controversial Rules","DataflowAnomalyAnalysis"
"36","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","5","59","Found 'DD'-anomaly for variable 'psmt' (lines '59'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"37","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","5","60","Found 'DU'-anomaly for variable 'categoryList' (lines '60'-'78').","Controversial Rules","DataflowAnomalyAnalysis"
"38","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","60","Local variable 'categoryList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"39","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","63","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"40","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","63","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"41","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","63","Local variable 'rs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"42","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/CarDaoJdbcImpl.java","3","65","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"43","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"44","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","4","13","Avoid unused imports such as 'com.mindtree.model.Category'","Type Resolution Rules","UnusedImports"
"45","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","4","13","Avoid unused imports such as 'com.mindtree.model.Category'","Type Resolution Rules","UnusedImports"
"46","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","26","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"47","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","5","26","Found 'DD'-anomaly for variable 'con' (lines '26'-'27').","Controversial Rules","DataflowAnomalyAnalysis"
"48","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","5","28","Found 'DD'-anomaly for variable 'psmt' (lines '28'-'31').","Controversial Rules","DataflowAnomalyAnalysis"
"49","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","5","29","Found 'DU'-anomaly for variable 'carList' (lines '29'-'45').","Controversial Rules","DataflowAnomalyAnalysis"
"50","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","29","Local variable 'carList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"51","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","32","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"52","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","32","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"53","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","32","Local variable 'rs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"54","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","34","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"55","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","34","Local variable 'car' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"56","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","49","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"57","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","5","49","Found 'DD'-anomaly for variable 'con' (lines '49'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"58","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","5","51","Found 'DD'-anomaly for variable 'psmt' (lines '51'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"59","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","5","52","Found 'DU'-anomaly for variable 'customerList' (lines '52'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"60","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","52","Local variable 'customerList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"61","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","55","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"62","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","55","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"63","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","55","Local variable 'rs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"64","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","57","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"65","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","71","Parameter 'car' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"66","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","77","Parameter 'rental' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"67","com.mindtree.exception","src/com/mindtree/exception/ApplicationException.java","3","22","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"68","com.mindtree.exception","src/com/mindtree/exception/ApplicationException.java","3","22","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"69","com.mindtree.exception","src/com/mindtree/exception/ApplicationException.java","3","27","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"70","com.mindtree.exception","src/com/mindtree/exception/ApplicationException.java","3","32","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"71","com.mindtree.exception","src/com/mindtree/exception/DaoException.java","3","22","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"72","com.mindtree.exception","src/com/mindtree/exception/DaoException.java","3","22","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"73","com.mindtree.exception","src/com/mindtree/exception/DaoException.java","3","27","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"74","com.mindtree.exception","src/com/mindtree/exception/DaoException.java","3","32","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"75","com.mindtree.exception","src/com/mindtree/exception/ServiceException.java","3","22","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"76","com.mindtree.exception","src/com/mindtree/exception/ServiceException.java","3","22","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"77","com.mindtree.exception","src/com/mindtree/exception/ServiceException.java","3","27","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"78","com.mindtree.exception","src/com/mindtree/exception/ServiceException.java","3","32","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"79","com.mindtree.model","src/com/mindtree/model/Car.java","3","28","Parameter 'carId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"80","com.mindtree.model","src/com/mindtree/model/Car.java","3","40","Parameter 'registrationNo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"81","com.mindtree.model","src/com/mindtree/model/Car.java","3","52","Parameter 'mileage' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"82","com.mindtree.model","src/com/mindtree/model/Car.java","3","64","Parameter 'category' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"83","com.mindtree.model","src/com/mindtree/model/Car.java","3","72","Avoid using final local variables, turn them into fields","Controversial Rules","AvoidFinalLocalVariable"
"84","com.mindtree.model","src/com/mindtree/model/Car.java","5","73","Found 'DD'-anomaly for variable 'result' (lines '73'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"85","com.mindtree.model","src/com/mindtree/model/Car.java","3","86","Parameter 'obj' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"86","com.mindtree.model","src/com/mindtree/model/Car.java","3","87","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"87","com.mindtree.model","src/com/mindtree/model/Car.java","3","88","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"88","com.mindtree.model","src/com/mindtree/model/Car.java","3","89","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"89","com.mindtree.model","src/com/mindtree/model/Car.java","3","90","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"90","com.mindtree.model","src/com/mindtree/model/Car.java","3","91","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"91","com.mindtree.model","src/com/mindtree/model/Car.java","3","92","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"92","com.mindtree.model","src/com/mindtree/model/Car.java","3","93","Local variable 'other' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"93","com.mindtree.model","src/com/mindtree/model/Car.java","3","94","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"94","com.mindtree.model","src/com/mindtree/model/Car.java","3","95","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"95","com.mindtree.model","src/com/mindtree/model/Car.java","3","96","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"96","com.mindtree.model","src/com/mindtree/model/Car.java","3","98","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"97","com.mindtree.model","src/com/mindtree/model/Category.java","3","5","The class 'Category' has a Cyclomatic Complexity of 2 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"98","com.mindtree.model","src/com/mindtree/model/Category.java","3","24","Parameter 'categoryId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
